pta_id,agreement_name,year,total_words,n_articles,n_chapters,hard_p1k_mean,soft_p1k_mean,enf_p1k_mean,oblig_ratio,total_words_norm,n_articles_norm,hard_p1k_mean_norm,enf_p1k_mean_norm,CCI_pilot
82,EU - South Africa,1999,16446.0,111.0,17.0,19.214398637966678,8.451903198346102,3.405083302930804,5.113884400896441,0.10869850932106664,0.21696252465483234,0.5968728087538584,0.11042407483667449,0.25823947939160796
83,EU - Morocco,1996,10102.0,97.0,16.0,22.965749356563055,7.028311225499901,2.7717283706196794,1.88386697746478,0.06481513506035347,0.1893491124260355,0.7134041289485544,0.08988489085151202,0.26436331682161385
84,EU - Israel,1995,7204.0,83.0,17.0,23.59800111049417,9.855635757912271,3.053858967240422,1.4326947991856376,0.04476878912599869,0.16173570019723865,0.7330442898153507,0.09903415603634605,0.25964573379373357
85,East African Community (EAC),1999,25894.0,157.0,31.0,16.9537344558585,9.65474627326794,2.2399011353981617,1.3786690376382968,0.17405319406495348,0.3076923076923077,0.5266479213947532,0.07263816729213954,0.27025789761103847
87,EFTA - Morocco,1997,5720.0,44.0,3.0,19.055944055944057,9.265734265734265,5.769230769230769,1.4049388111888113,0.03450351053159478,0.08481262327416174,0.5919506025889004,0.187091449323209,0.2245895464294665
89,Melanesian Spearhead Group (MSG),1993,3120.0,22.0,2.0,16.346153846153847,9.935897435897436,4.487179487179487,1.5078792735042736,0.016518521080482827,0.04142011834319526,0.5077741407528641,0.14551557169582924,0.17780708796809286
90,Commonwealth of Independent States (CIS),1994,2740.0,27.0,3.0,12.408759124087592,4.014598540145985,5.839416058394161,1.2449513381995134,0.013889945699166465,0.05128205128205128,0.3854635813014443,0.18936750101813854,0.16000076982520015
91,Kyrgyz Republic - Kazakhstan,1995,1699.0,19.0,3.0,24.72042377869335,3.531489111241907,7.062978222483814,2.0134392780066706,0.006689032615086639,0.03550295857988166,0.7679110365296231,0.2290466242450116,0.25978741299240077
92,EFTA - Palestinian Authority,1998,5412.0,42.0,3.0,18.29268292682927,10.532150776053214,5.358462675535846,1.185641255763207,0.03237298101200152,0.08086785009861934,0.5682407887908666,0.1737705750057891,0.21381304872681914
93,Kyrgyz Republic - Moldova,1995,1880.0,20.0,3.0,21.80851063829787,5.851063829787234,5.319148936170213,1.7591312056737587,0.007941064573029432,0.03747534516765286,0.6774558623811678,0.17249566249657566,0.22384198365460645
94,Kyrgyz Republic - Russian Federation,1992,2140.0,24.0,3.0,14.485981308411215,6.074766355140187,4.672897196261682,1.4652258566978191,0.009739563518140629,0.045364891518737675,0.44999005766553984,0.15153824555773937,0.16415818956503936
95,Kyrgyz Republic - Ukraine,1995,1517.0,16.0,3.0,23.071852340145025,5.273566249176005,3.955174686882004,1.8239947264337508,0.005430083353508803,0.02958579881656805,0.7167000939704624,0.12826308984583873,0.2199947664965945
96,Kyrgyz Republic - Uzbekistan,1996,1972.0,21.0,3.0,23.32657200811359,4.056795131845842,6.085192697768763,2.117393509127789,0.008577456507453394,0.03944773175542406,0.7246126623796987,0.1973378370143381,0.24249392191422858
97,Eurasian Economic Community (EAEC),1996,5802.0,70.0,8.0,22.4060668734919,3.274732850741124,1.3788348845225784,1.8840572216477076,0.03507072942966831,0.13609467455621302,0.6960182475595355,0.044714490933272975,0.22797453561967243
98,EU - Tunisia,1995,10103.0,97.0,16.0,23.062456696030882,6.829654558052064,2.771454023557359,2.1067947757148984,0.06482205236398851,0.1893491124260355,0.7164082292809593,0.08987599399999746,0.2651138470177452
99,Turkey - Israel,1996,4363.0,38.0,7.0,24.753609901443962,8.93880357552143,4.8132019252807705,3.07021544808618,0.02511672949884135,0.07297830374753453,0.7689419245980464,0.1560882135082468,0.2557812928381673
100,EU - Andorra,1991,2547.0,26.0,5.0,25.91283863368669,5.496662740478995,2.3557126030624262,2.7971282741600763,0.012554906097603156,0.04930966469428008,0.8049520086209055,0.07639383874995577,0.23580260454068613
101,Canada - Chile,1996,39789.0,179.0,18.0,12.516022016135112,7.61517002186534,11.68664706325869,1.407413630711527,0.2701691280738768,0.3510848126232742,0.38879557752249494,0.37898843437760804,0.34725948814931346
102,EU - Palestinian Authority,1997,7493.0,76.0,11.0,18.417189376751637,10.142799946616842,2.802615774723075,0.9847981925988064,0.046767889876526136,0.14792899408284024,0.5721084359586678,0.09088654417943157,0.21442296602436642
103,EU - Faroe Islands,1996,4197.0,42.0,3.0,16.202049082678105,13.34286395044079,1.6678579938050988,1.0571042808355176,0.023968457095424202,0.08086785009861934,0.5032976949087241,0.054087274683224586,0.16555531919649807
