pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id
54,Singapore - Australia,"['AUS', 'SGP']",2,2003,2003-02-17,2003-07-28,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,60.0
55,Turkey - Bosnia and Herzegovina,"['BIH', 'TUR']",2,2002,2002-07-03,2003-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,No,en,61.0
56,Turkey - Croatia,[],0,2002,2002-03-13,2003-07-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,62.0
57,EU - Lebanon,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LBN', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2002,2002-06-17,2003-03-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,No,en,63.0
58,EFTA - Singapore,"['CHE', 'ISL', 'LIE', 'NOR', 'SGP']",5,2002,2002-06-26,2003-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; East Asia,Yes,Yes,en,65.0
59,Canada - Costa Rica,"['CAN', 'CRI']",2,2001,2001-04-23,2002-11-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,North America; Central America,Yes,Yes,en,66.0
60,EU - Croatia,[],0,2001,2001-10-29,2002-03-01,Inactive,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe,No,Yes,en,67.0
61,EU - Jordan,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'JOR', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1997,1997-11-24,2002-05-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,Yes,en,68.0
62,Japan - Singapore,"['JPN', 'SGP']",2,2002,2002-01-13,2002-11-30,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,70.0
63,US - Jordan,"['JOR', 'USA']",2,2000,2000-10-24,2001-12-17,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Middle East; North America,Yes,Yes,en,71.0
